kzt;usd;tyr
0,20567;29,4545;20,6925
0,206319;29,4545;20,2059
0,205159;29,245;20,2175
0,204908;29,135;20,5438
0,203202;28,9918;20,4889
0,202496;28,8711;20,77
0,203379;28,8841;20,9407
0,20394;28,8691;20,966
0,204447;28,8795;20,8975
0,204153;28,8795;20,7647
0,203738;28,7961;20,8916
0,205073;28,7853;20,8731
0,205979;28,8026;21,0342
0,204922;28,6959;21,134
0,204188;28,5514;20,9664
0,204076;28,4963;20,9647
0,204461;28,5139;20,9245
0,204268;28,485;21,0116
0,204624;28,4916;21,0763
0,204323;28,4937;21,1115
0,204423;28,5252;21,2736
0,204986;28,6205;21,3055
0,204684;28,5281;21,1765
0,204711;28,4906;21,0851
0,205233;28,5744;21,0964
0,20464;28,4939;21,2353
0,204751;28,5048;21,3085
0,205045;28,5312;21,2455
0,205045;28,518;21,22
0,205112;28,518;21,3007
0,204865;28,4949;21,3093
0,204888;28,4878;21,3511
0,205069;28,4851;21,2687
0,205209;28,4959;21,3562
0,204878;28,4934;21,4236
0,20509;28,4931;21,5467
0,205164;28,4973;21,5724
0,204787;28,511;21,6091
0,205098;28,5156;21,6811
0,204959;28,5162;21,9776
0,204957;28,5321;21,8181
0,204643;28,5895;21,5994
0,205195;28,6654;21,4722
0,205685;28,6343;21,4664
0,205227;28,5216;21,1138
0,205617;28,5733;20,7935
0,205686;28,5726;20,8275
0,205249;28,5083;20,8677
0,205064;28,5064;20,8668
0,204647;28,5121;20,4877
0,204577;28,534;20,3446
0,204911;28,5005;20,5163
0,205271;28,5045;20,3984
0,205289;28,5121;20,4783
0,205206;28,4855;20,0948
0,20512;28,4852;20,1489
0,205673;28,4979;20,5192
0,205697;28,4891;20,6541
0,205249;28,4886;20,4042
0,205231;28,4853;20,3048
0,205346;28,5151;20,5711
0,20521;28,5024;20,6985
0,205815;28,5095;20,4992
0,206266;28,5385;20,6642
0,206291;28,541;20,6201
0,20634;28,5296;20,7393
0,206444;28,5172;20,5989
0,206618;28,5065;20,1685
0,207121;28,5535;20,1683
0,207296;28,5892;20,1629
0,207288;28,6221;20,3405
0,207549;28,6104;20,2985
0,207827;28,6223;20,3377
0,208315;28,6693;20,3568
0,208975;28,7662;20,3509
0,209841;28,9237;20,3182
0,209815;28,98;20,2138
0,209776;28,9671;19,8376
0,209567;29,0033;20,113
0,208234;28,87;20,5392
0,208343;28,8636;20,6884
0,20878;28,8834;20,6658
0,209668;28,9612;20,2445
0,210047;28,8976;20,3711
0,210163;28,873;20,3897
0,210678;28,953;20,3429
0,211027;28,9862;20,2994
0,211793;29,0587;20,2938
0,212123;29,0772;20,4093
0,212336;29,0684;20,4623
0,212312;29,0436;20,2613
0,212176;28,9983;20,2548
0,21242;28,9924;20,0549
0,212464;28,9904;20,1535
0,212405;28,9863;20,3267
0,211874;28,9916;20,4751
0,211452;28,9763;20,535
0,211234;28,9817;20,8233
0,211508;28,985;20,887
0,211113;28,985;21,1446
0,21172;28,9993;20,6756
0,212294;29,0053;20,8615
0,212693;29,0511;20,6827
0,21316;29,0859;20,8165
0,213108;29,0658;20,8703
0,213364;29,0346;20,8509
0,213382;29,0219;20,6744
0,213334;29,0337;20,8017
0,213393;29,0424;21,0177
0,213263;29,0287;20,9232
0,212956;29,02;20,9002
0,21279;29,0199;21,0566
0,21293;29,029;21,0746
0,213005;29,0257;21,1807
0,212456;29,017;21,1002
0,212648;29,0206;21,1108
0,212674;29,0243;21,2229
